rep,kappa_exit_est,K_est,K_log_est,gamma_price_est,gamma_risk_est,kappa_exit_true,K_true,gamma_price_true,gamma_risk_true,converged,n_iter,log_lik,cond_num,n_obs,maintain_sh,exit_sh,replace_sh
79,14.7737561593686,6.02444927664714,1.79582606883328,-1.01239045037518,0.596062285420158,15,6,-1,0.6,TRUE,8,-5595.66503939715,12690.9257099349,14558,0.856711086687732,0.131680175848331,0.0116087374639374
80,15.2988784040553,5.96546320628455,1.78598670656422,-0.870694258699688,0.606674478901184,15,6,-1,0.6,TRUE,6,-5414.55479551503,11713.0296649149,13711,0.848880460943768,0.140689956968857,0.0104295820873751
81,15.0055800338213,5.94931321325262,1.78327578655131,-1.07123039076447,0.591895105033081,15,6,-1,0.6,TRUE,105,-5512.8323940919,12110.6047518572,14299,0.855024826910973,0.134345059095042,0.0106301139939856
82,15.210685929078,6.08786208351508,1.80629696647806,-0.927160686332018,0.600529402563005,15,6,-1,0.6,TRUE,5,-5311.95017632078,11528.6329986326,13614,0.849493168796827,0.1409578375202,0.00954899368297341
83,15.2479599340549,6.09471198825638,1.8074215080442,-1.08074949468594,0.581144909755427,15,6,-1,0.6,TRUE,9,-5351.5480133905,11974.0459244471,13456,0.846462544589774,0.144396551724138,0.00914090368608799
84,14.2403338280612,6.43076864480474,1.86109407151024,-1.18312326553649,0.602631792660027,15,6,-1,0.6,TRUE,23,-5193.05840512291,12781.0678722924,13421,0.848222934207585,0.14365546531555,0.00812160047686461
85,14.9637556671453,5.92467583517776,1.77912597416207,-0.891846411911628,0.61403959939953,15,6,-1,0.6,TRUE,18,-5561.07427667558,11994.02725562,14452,0.856213672848049,0.132230833102685,0.0115554940492665
86,14.6122915229573,6.15289735343226,1.81692308525812,-0.985885853607844,0.614663450041751,15,6,-1,0.6,TRUE,14,-5424.87330712726,12323.5564111763,14045,0.852331790672837,0.1374866500534,0.0101815592737629
87,15.6937228278373,5.79446713152849,1.75690351941941,-0.826612975514099,0.595506816118997,15,6,-1,0.6,TRUE,51,-5488.88040636529,11418.2563714462,13637,0.847180464911638,0.141013419373763,0.0118061157146
88,15.7539749785368,5.80313793563871,1.75839879463797,-0.949091686938654,0.575757532182022,15,6,-1,0.6,TRUE,6,-5489.24707294435,11177.0811815161,13961,0.851371678246544,0.137884105723086,0.0107442160303703
89,15.2162274440841,5.87286269630631,1.77034219746687,-0.845320923286705,0.6108969747472,15,6,-1,0.6,TRUE,12,-5523.78075352622,11709.1492438621,13828,0.848134220422332,0.139644200173561,0.0122215794041076
90,15.1943713967657,6.01945986942809,1.79499753260905,-0.879049261004236,0.60984955206746,15,6,-1,0.6,TRUE,69,-5416.81352833875,11744.4881630905,13982,0.852453154055214,0.137247890144471,0.0102989558003147
91,14.7826032340979,5.97804568455837,1.78809370594669,-0.884949792011918,0.627214188505362,15,6,-1,0.6,TRUE,42,-5586.24944541346,11906.8922085355,14649,0.85753293740187,0.130930438937811,0.0115366236603181
92,15.2391853314755,6.07761435528378,1.80461224320286,-0.920257400637445,0.597216062251544,15,6,-1,0.6,TRUE,8,-5388.36650903342,12116.2069362767,13795,0.851105472997463,0.138963392533527,0.00993113446901051
93,14.8364329302208,6.036255079947,1.79778379977859,-1.02364327225942,0.599432135812248,15,6,-1,0.6,TRUE,6,-5389.08403452757,11988.0413062037,13674,0.848910340792745,0.140339330115548,0.0107503290917069
94,15.1978940291099,5.93125507066315,1.78023583828206,-0.881952140328044,0.604791030526437,15,6,-1,0.6,TRUE,5,-5521.75736313536,11937.3359801559,14290,0.854723582925123,0.13407977606718,0.0111966410076977
95,15.6472867772675,6.01175604457685,1.79371689298639,-0.882351722904647,0.584179082650725,15,6,-1,0.6,TRUE,5,-5494.77240444658,12112.6185251926,14074,0.853275543555492,0.136919141679693,0.00980531476481455
96,15.013639930159,6.15496461367033,1.81725901041929,-1.03837841947625,0.586824308581995,15,6,-1,0.6,TRUE,27,-5454.92934879593,12989.5480740095,13849,0.850458516860423,0.139793486894361,0.00974799624521626
97,14.726926306261,5.94870057454948,1.78317280487477,-0.995627133563458,0.613739094005997,15,6,-1,0.6,TRUE,6,-5459.08421364545,12395.1107413984,13761,0.848194171935179,0.13981542039096,0.0119904076738609
98,14.6787880939675,6.02460051307832,1.79585117229519,-1.07536143323352,0.598782932617803,15,6,-1,0.6,TRUE,48,-5481.08811765142,11942.4810651888,14241,0.854364159820237,0.134681553261709,0.0109542869180535
99,14.9658375018699,5.94662646577874,1.7828240782219,-0.845696679905212,0.628063121208041,15,6,-1,0.6,TRUE,17,-5405.05351021831,11796.2091503106,13560,0.84712389380531,0.141371681415929,0.0115044247787611
100,14.6474989360387,6.04914023053585,1.79991615128884,-0.947829656936757,0.618974606784903,15,6,-1,0.6,TRUE,5,-5384.26862206003,12257.191594561,13912,0.851998274870615,0.136932144910868,0.0110695802185164
