term,estimate,std.error,conf.low,conf.high,year,spec
rel_year::19:texas_treated,-0.00137637253302624,0.0107628696747339,-0.0240840426349695,0.0213312975689171,19,above_median
rel_year::20:texas_treated,0.0114839212362785,0.00665467059428781,-0.00255620644889919,0.0255240489214562,20,above_median
rel_year::21:texas_treated,0.027025411660382,0.00547988083885451,0.0154638737018965,0.0385869496188676,21,above_median
rel_year::22:texas_treated,0.0233254751090165,0.00384048290831854,0.0152227644426434,0.0314281857753895,22,above_median
rel_year::-13:texas_treated,0.00433272275774603,0.0106854386867831,-0.0182115822396117,0.0268770277551038,-13,psm_pooled
rel_year::-12:texas_treated,0.00354217014375072,0.00864481582829548,-0.0146967969582871,0.0217811372457886,-12,psm_pooled
rel_year::-11:texas_treated,-0.0576570473213736,0.00743543859285283,-0.0733444514925975,-0.0419696431501497,-11,psm_pooled
rel_year::-10:texas_treated,-0.0402144242272584,0.00894552784762608,-0.0590878382321217,-0.0213410102223952,-10,psm_pooled
rel_year::-9:texas_treated,-0.023120661374824,0.00688096855990525,-0.0376382360330934,-0.00860308671655459,-9,psm_pooled
rel_year::-8:texas_treated,0.000483689487750907,0.00512663248546425,-0.0103325595919079,0.0112999385674097,-8,psm_pooled
rel_year::-7:texas_treated,0.0106432284284386,0.00454095940214424,0.00106264154348598,0.0202238153133912,-7,psm_pooled
rel_year::-6:texas_treated,0.0116968203709183,0.00382726170472878,0.00362200400583666,0.019771636736,-6,psm_pooled
rel_year::-5:texas_treated,0.00270684918724758,0.00295153504115028,-0.00352034542109218,0.00893404379558733,-5,psm_pooled
rel_year::-4:texas_treated,0.00664875320911447,0.00264320202277753,0.00107208440609791,0.012225422012131,-4,psm_pooled
rel_year::-3:texas_treated,0.00457185393088795,0.00223802681716891,-0.000149969911583734,0.00929367777335963,-3,psm_pooled
rel_year::-2:texas_treated,0.00604355557766771,0.00179355699435404,0.00225948109124765,0.00982763006408778,-2,psm_pooled
ref_-1,0,0,0,0,-1,psm_pooled
rel_year::0:texas_treated,0.00930927031954302,0.00424220311664249,0.000359004099717645,0.0182595365393684,0,psm_pooled
rel_year::1:texas_treated,0.0131685535067967,0.00254092150237395,0.00780767773903651,0.0185294292745569,1,psm_pooled
rel_year::2:texas_treated,0.00373131078907904,0.00193560032218404,-0.000352448923124021,0.00781507050128211,2,psm_pooled
rel_year::3:texas_treated,0.0032631387304096,0.00231306067575903,-0.00161699271578046,0.00814327017659965,3,psm_pooled
rel_year::4:texas_treated,0.00641702591556218,0.00236914528452497,0.00141856628812106,0.0114154855430033,4,psm_pooled
rel_year::5:texas_treated,0.00752320022100386,0.00198848479203771,0.00332786403047806,0.0117185364115297,5,psm_pooled
rel_year::6:texas_treated,0.00303777050585712,0.00261226655193403,-0.00247363015886622,0.00854917117058046,6,psm_pooled
rel_year::7:texas_treated,0.0021614320456203,0.00266995341720154,-0.0034716772660808,0.00779454135732141,7,psm_pooled
rel_year::8:texas_treated,0.0000355178540809517,0.00290445704194973,-0.00609235085817226,0.00616338656633417,8,psm_pooled
rel_year::9:texas_treated,0.00566277187263161,0.00495367650471908,-0.00478857198457161,0.0161141157298348,9,psm_pooled
rel_year::10:texas_treated,0.00216673209253899,0.00253797570112408,-0.00318792857785502,0.007521392762933,10,psm_pooled
rel_year::11:texas_treated,-0.00309073255601795,0.00298445766699204,-0.00938738783322183,0.00320592272118593,11,psm_pooled
rel_year::12:texas_treated,-0.00288267777950768,0.00303167224590918,-0.00927894711081179,0.00351359155179642,12,psm_pooled
rel_year::13:texas_treated,-0.00121891574447274,0.00327758141411832,-0.00813400806959652,0.00569617658065104,13,psm_pooled
rel_year::14:texas_treated,-0.0040599693430496,0.00418923325483979,-0.012898478923288,0.00477854023718874,14,psm_pooled
rel_year::15:texas_treated,-0.00330910081295001,0.00397235351398254,-0.0116900341374113,0.00507183251151127,15,psm_pooled
rel_year::16:texas_treated,-0.000366633271173265,0.00410634439717736,-0.00903026264828662,0.00829699610594009,16,psm_pooled
rel_year::17:texas_treated,0.00079959818551381,0.0042405040687543,-0.00814708335660956,0.00974627972763718,17,psm_pooled
rel_year::18:texas_treated,0.00370476671852851,0.0047631836082528,-0.00634467225824357,0.0137542056953006,18,psm_pooled
rel_year::19:texas_treated,-0.00555124012818339,0.00823736069068399,-0.0229305520336203,0.0118280717772535,19,psm_pooled
rel_year::20:texas_treated,0.00902397729023134,0.0037804085236938,0.00104801249636832,0.0169999420840944,20,psm_pooled
rel_year::21:texas_treated,0.0218440888369237,0.00272543897459744,0.0160939152318839,0.0275942624419634,21,psm_pooled
rel_year::22:texas_treated,0.0184530961378764,0.00255438865250351,0.0130638071669838,0.0238423851087689,22,psm_pooled
rel_year::-13:texas_treated,-0.00297279615864662,0.00107521645529364,-0.00524130458556787,-0.000704287731725373,-13,reform_pooled
rel_year::-12:texas_treated,-0.00289626226770479,0.000948180838906441,-0.00489674897223266,-0.000895775563176922,-12,reform_pooled
rel_year::-11:texas_treated,-0.00360619445956829,0.00112791242169445,-0.00598588165729094,-0.00122650726184564,-11,reform_pooled
rel_year::-10:texas_treated,-0.00317161867461497,0.00110916511598196,-0.005511752514703,-0.000831484834526942,-10,reform_pooled
rel_year::-9:texas_treated,-0.00244396384708457,0.00070999217649975,-0.00394191640120353,-0.000946011292965619,-9,reform_pooled
rel_year::-8:texas_treated,-0.00208729722028602,0.000658244885984646,-0.00347607253476554,-0.000698521905806502,-8,reform_pooled
rel_year::-7:texas_treated,-0.00142749622275319,0.000381152213272576,-0.00223165709984131,-0.000623335345665059,-7,reform_pooled
rel_year::-6:texas_treated,-0.00115786097343259,0.000361310606031431,-0.0019201597184741,-0.000395562228391084,-6,reform_pooled
rel_year::-5:texas_treated,-0.00115327401972482,0.000318659435857732,-0.00182558666152104,-0.000480961377928601,-5,reform_pooled
rel_year::-4:texas_treated,-0.000810585681322204,0.000232127768252057,-0.00130033246282808,-0.000320838899816333,-4,reform_pooled
rel_year::-3:texas_treated,-0.000454778697891767,0.000285137172815802,-0.0010563655469179,0.000146808151134363,-3,reform_pooled
rel_year::-2:texas_treated,-0.000108474293784535,0.000127269359154465,-0.00037698917030949,0.000160040582740419,-2,reform_pooled
ref_-1,0,0,0,0,-1,reform_pooled
rel_year::0:texas_treated,0.00243753914051934,0.000364000745759093,0.00166956469677386,0.00320551358426482,0,reform_pooled
rel_year::1:texas_treated,0.0196221312276229,0.00671707025144572,0.00545035177372196,0.0337939106815238,1,reform_pooled
rel_year::2:texas_treated,0.00905091195708022,0.00364798774223091,0.00135433059077645,0.016747493323384,2,reform_pooled
