make_model_tank,closure_rate_Control,closure_rate_Texas,n_Control,n_Texas,pre_gap
Double-Walled_Other-Fuel_1k-5k_1997,0.00666666666666667,0,600,16,-0.00666666666666667
Double-Walled_Other-Fuel_5k-12k_1995,0.00649350649350649,0,2002,176,-0.00649350649350649
Single-Walled_Motor-Fuel-Mixed_12k-25k_1992,0.00649350649350649,0,154,189,-0.00649350649350649
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1992,0.00645756457564576,0,1084,7,-0.00645756457564576
Double-Walled_Gasoline-Only_1k-5k_1995,0.00616016427104723,0,974,36,-0.00616016427104723
Double-Walled_Other-Fuel_12k-25k_1990,0.00588668138337013,0,2718,306,-0.00588668138337013
Double-Walled_Gasoline-Only_5k-12k_1991,0.00451073863345123,0.010377358490566,19509,1060,0.00586661985711481
Double-Walled_Gasoline-Only_12k-25k_1992,0.0023767082590612,0.00821355236139631,6732,487,0.0058368441023351
Single-Walled_Gasoline-Only_1k-5k_1990,0.0166163141993958,0.0223123732251521,23832,986,0.00569605902575636
Double-Walled_Diesel-Only_12k-25k_1996,0.00550206327372765,0,1454,144,-0.00550206327372765
Double-Walled_Other-Fuel_1k-5k_1993,0.00549682875264271,0,2365,144,-0.00549682875264271
Single-Walled_Gasoline-Only_12k-25k_1991,0.0031962057944118,0.00865800865800866,9699,1155,0.00546180286359686
Unknown-Wall_Gasoline-Only_5k-12k_1992,0.00543199754022753,0,9757,7,-0.00543199754022753
Single-Walled_Gasoline-Only_1k-5k_1989,0.0251419302514193,0.0305676855895197,28359,1374,0.00542575533810035
Unknown-Wall_Diesel-Only_1k-5k_1990,0.00527240773286468,0,5121,9,-0.00527240773286468
Double-Walled_Gasoline-Only_5k-12k_1990,0.0034952813701503,0.00867052023121387,25749,1384,0.00517523886106358
Double-Walled_Diesel-Only_Under-1k_1993,0.00515463917525773,0,388,6,-0.00515463917525773
Double-Walled_Other-Fuel_12k-25k_1997,0.00512820512820513,0,390,110,-0.00512820512820513
Single-Walled_Gasoline-Only_5k-12k_1993,0.00257154160622445,0.00766773162939297,15166,1565,0.00509619002316852
Single-Walled_Diesel-Only_12k-25k_1991,0.00604838709677419,0.010989010989011,3472,364,0.0049406238922368
Single-Walled_Gasoline-Only_1k-5k_1997,0.0931750741839763,0.0882352941176471,1685,34,-0.0049397800663292
Single-Walled_Gasoline-Only_5k-12k_1991,0.00443695092732274,0.00936680404645935,33807,2669,0.0049298531191366
Double-Walled_Gasoline-Only_12k-25k_1996,0.00486709097716211,0,5342,615,-0.00486709097716211
Double-Walled_Motor-Fuel-Mixed_5k-12k_1990,0.00483091787439614,0,207,9,-0.00483091787439614
Double-Walled_Other-Fuel_Under-1k_1995,0.00481927710843374,0,415,16,-0.00481927710843374
Double-Walled_Gasoline-Only_5k-12k_1995,0.00203761755485893,0.00675675675675676,6380,444,0.00471913920189782
Single-Walled_Diesel-Only_5k-12k_1995,0.00100772589855559,0.00564971751412429,2977,354,0.0046419916155687
Double-Walled_Diesel-Only_5k-12k_1995,0.00456053067993367,0,2412,104,-0.00456053067993367
Single-Walled_Diesel-Only_5k-12k_1997,0.00574712643678161,0.0102040816326531,1740,98,0.00445695519587145
Single-Walled_Diesel-Only_5k-12k_1989,0.00808777784061988,0.0036563071297989,17681,1641,-0.00443147071082097
Double-Walled_Gasoline-Only_12k-25k_1993,0.00415296764146046,0,5779,360,-0.00415296764146046
Single-Walled_Gasoline-Only_12k-25k_1997,0.00415081286751989,0,2891,516,-0.00415081286751989
Double-Walled_Diesel-Only_1k-5k_1996,0.00412881915772089,0,1211,27,-0.00412881915772089
Double-Walled_Diesel-Only_5k-12k_1993,0.00430321085733201,0.00833333333333333,3021,120,0.00403012247600132
Double-Walled_Other-Fuel_Under-1k_1996,0.00374531835205993,0,267,15,-0.00374531835205993
Single-Walled_Diesel-Only_Under-1k_1993,0.00371747211895911,0,538,18,-0.00371747211895911
Double-Walled_Diesel-Only_Under-1k_1994,0.003690036900369,0,271,5,-0.003690036900369
Single-Walled_Diesel-Only_1k-5k_1993,0.00457481162540366,0.00826446280991736,3716,121,0.0036896511845137
Unknown-Wall_Gasoline-Only_5k-12k_1990,0.00365299704583717,0,31481,18,-0.00365299704583717
Double-Walled_Gasoline-Only_12k-25k_1989,0.00163920282978173,0.00508474576271186,11591,590,0.00344554293293014
Single-Walled_Diesel-Only_5k-12k_1996,0.00341463414634146,0,2050,207,-0.00341463414634146
Single-Walled_Diesel-Only_1k-5k_1991,0.00921787709497207,0.0058252427184466,7160,515,-0.00339263437652547
Double-Walled_Other-Fuel_12k-25k_1991,0.0033921302578019,0,2948,328,-0.0033921302578019
Unknown-Wall_Diesel-Only_5k-12k_1991,0.00338504936530324,0,3545,8,-0.00338504936530324
Double-Walled_Gasoline-Only_5k-12k_1994,0.00335820895522388,0,8040,445,-0.00335820895522388
Single-Walled_Gasoline-Only_5k-12k_1994,0.00272108843537415,0.0060790273556231,13230,1645,0.00335793892024895
Double-Walled_Gasoline-Only_12k-25k_1995,0.00332963374028857,0,6307,616,-0.00332963374028857
Double-Walled_Diesel-Only_1k-5k_1992,0.00322297099326106,0,3413,84,-0.00322297099326106
Single-Walled_Diesel-Only_5k-12k_1993,0.00204127920163302,0.0051948051948052,4409,385,0.00315352599317217
Single-Walled_Diesel-Only_12k-25k_1996,0.00305498981670061,0,982,159,-0.00305498981670061
Double-Walled_Other-Fuel_5k-12k_1990,0.00804000392195313,0.0050125313283208,10199,798,-0.00302747259363233
Double-Walled_Diesel-Only_12k-25k_1995,0.00301053687907677,0,1993,148,-0.00301053687907677
Double-Walled_Diesel-Only_5k-12k_1994,0.00423728813559322,0.0072463768115942,3068,138,0.00300908867600098
Double-Walled_Diesel-Only_12k-25k_1994,0.00298359025360517,0,2011,140,-0.00298359025360517
Double-Walled_Other-Fuel_5k-12k_1991,0.00475875743555849,0.00186915887850467,7565,535,-0.00288959855705382
Unknown-Wall_Gasoline-Only_5k-12k_1991,0.0028275817749502,0,15561,8,-0.0028275817749502
Double-Walled_Motor-Fuel-Mixed_12k-25k_1992,0.00280898876404494,0,356,112,-0.00280898876404494
Double-Walled_Diesel-Only_12k-25k_1991,0.00279955207166853,0,3572,152,-0.00279955207166853
Single-Walled_Diesel-Only_5k-12k_1991,0.00508298755186722,0.0078003120124805,9640,641,0.00271732446061328
Double-Walled_Gasoline-Only_1k-5k_1997,0.0027063599458728,0,739,8,-0.0027063599458728
Single-Walled_Diesel-Only_12k-25k_1993,0.00168634064080944,0.00436681222707424,1779,229,0.00268047158626479
Double-Walled_Gasoline-Only_5k-12k_1989,0.00343829171190735,0.00600764609503004,22104,1831,0.00256935438312269
Unknown-Wall_Other-Fuel_5k-12k_1991,0.0024634586960092,0,6089,40,-0.0024634586960092
Double-Walled_Gasoline-Only_1k-5k_1996,0.00239234449760766,0,836,3,-0.00239234449760766
Double-Walled_Gasoline-Only_5k-12k_1996,0.00236686390532544,0,5070,264,-0.00236686390532544
Double-Walled_Diesel-Only_5k-12k_1991,0.00229479258605472,0.00462962962962963,5665,432,0.00233483704357491
Double-Walled_Gasoline-Only_12k-25k_1994,0.00403105404598388,0.00171232876712329,6698,584,-0.00231872527886059
Single-Walled_Gasoline-Only_12k-25k_1993,0.00182444759781066,0.0040595399188092,4933,739,0.00223509232099854
Single-Walled_Gasoline-Only_5k-12k_1992,0.00330906684315023,0.00550206327372765,21154,2181,0.00219299643057742
Single-Walled_Gasoline-Only_12k-25k_1989,0.00671960904092853,0.00457317073170732,13096,1312,-0.00214643830922121
Single-Walled_Diesel-Only_12k-25k_1992,0.00598035027765912,0.00386100386100386,2341,259,-0.00211934641665526
Single-Walled_Diesel-Only_5k-12k_1990,0.00621468926553672,0.00826446280991736,15930,1210,0.00204977354438063
Single-Walled_Other-Fuel_Under-1k_1990,0.0411709159584514,0.0432098765432099,5295,162,0.00203896058475851
Double-Walled_Gasoline-Only_1k-5k_1994,0.00202156334231806,0,1484,20,-0.00202156334231806
Double-Walled_Diesel-Only_12k-25k_1993,0.00198906016907011,0,2011,174,-0.00198906016907011
Single-Walled_Other-Fuel_Under-1k_1991,0.04,0.0380952380952381,2425,105,-0.0019047619047619
Double-Walled_Diesel-Only_5k-12k_1989,0.00411581038887312,0.00245700245700246,7046,407,-0.00165880793187066
Double-Walled_Gasoline-Only_1k-5k_1991,0.00688073394495413,0.00847457627118644,3924,118,0.00159384232623231
Double-Walled_Other-Fuel_12k-25k_1993,0.0015625,0,1280,216,-0.0015625
Single-Walled_Diesel-Only_12k-25k_1995,0.00153727901614143,0,1301,188,-0.00153727901614143
Double-Walled_Other-Fuel_5k-12k_1992,0.00134989200863931,0,3704,371,-0.00134989200863931
Single-Walled_Gasoline-Only_12k-25k_1996,0.0013319126265317,0,3754,732,-0.0013319126265317
Double-Walled_Gasoline-Only_1k-5k_1993,0.00127931769722815,0,2345,60,-0.00127931769722815
Single-Walled_Diesel-Only_12k-25k_1994,0.00120336943441637,0,1662,160,-0.00120336943441637
Unknown-Wall_Gasoline-Only_5k-12k_1997,0.00120336943441637,0,2493,6,-0.00120336943441637
Unknown-Wall_Diesel-Only_12k-25k_1994,0.0010593220338983,0,944,5,-0.0010593220338983
Double-Walled_Other-Fuel_5k-12k_1989,0.00519785378940309,0.0041958041958042,5964,715,-0.00100204959359889
Unknown-Wall_Other-Fuel_1k-5k_1993,0.000918484500574053,0,4355,6,-0.000918484500574053
Single-Walled_Gasoline-Only_5k-12k_1990,0.00601136005048911,0.00683994528043776,63380,5117,0.000828585229948643
Single-Walled_Gasoline-Only_5k-12k_1989,0.00807621688943672,0.00885739592559787,77883,6774,0.000781179036161156
Single-Walled_Gasoline-Only_12k-25k_1995,0.0017636684303351,0.00114678899082569,5103,872,-0.000616879439509409
Double-Walled_Other-Fuel_5k-12k_1993,0.00303030303030303,0.00340136054421769,3300,294,0.000371057513914657
