facility_id,state
101877,Louisiana
101882,New Mexico
101884,Maine
1019,Montana
101900,Idaho
101902,Kansas
101904,South Dakota
101905,Alabama
101906,Minnesota
101907,Connecticut
101908,North Carolina
101909,Illinois
101910,Massachusetts
101912,Ohio
101916,Pennsylvania
101919,Tennessee
101920,Virginia
101928,New Jersey
101929,Michigan
101932,Arkansas
101937,Texas
101944,Oklahoma
101946,Louisiana
101949,New Mexico
101996,Maine
102003,Montana
102004,Idaho
1020184,Kansas
102021,South Dakota
102023,Alabama
102024,Minnesota
102025,Connecticut
102026,North Carolina
102027,Illinois
102042,Massachusetts
102046,Ohio
102047,Pennsylvania
102061,Tennessee
102062,Virginia
102072,New Jersey
102073,Michigan
102075,Arkansas
102076,Texas
102079,Oklahoma
102081,Louisiana
102082,New Mexico
102084,Maine
102085,Montana
10209,Idaho
102091,Kansas
102093,South Dakota
102098,Alabama
1021,Minnesota
102100,Connecticut
102102,North Carolina
102107,Illinois
102110,Massachusetts
102111,Ohio
1021116,Pennsylvania
102112,Tennessee
102114,Virginia
102115,New Jersey
102116,Michigan
1021165,Arkansas
102117,Texas
102118,Oklahoma
10212,Louisiana
102122,New Mexico
102123,Maine
102124,Montana
102125,Idaho
102129,Kansas
10213,South Dakota
102130,Alabama
102138,Minnesota
1021386,Connecticut
102140,North Carolina
102142,Illinois
102146,Massachusetts
102148,Ohio
102149,Pennsylvania
102151,Tennessee
102152,Virginia
102153,New Jersey
102163,Michigan
102164,Arkansas
102167,Texas
102168,Oklahoma
102169,Louisiana
102170,New Mexico
102172,Maine
102173,Montana
102175,Idaho
102176,Kansas
102177,South Dakota
102181,Alabama
102182,Minnesota
102183,Connecticut
102184,North Carolina
102186,Illinois
102187,Massachusetts
102188,Ohio
102189,Pennsylvania
10219,Tennessee
102190,Virginia
102191,New Jersey
102192,Michigan
102195,Arkansas
102196,Texas
102198,Oklahoma
102199,Louisiana
102200,New Mexico
1022052,Maine
102211,Montana
102212,Idaho
102213,Kansas
102214,South Dakota
102215,Alabama
102218,Minnesota
102219,Connecticut
102221,North Carolina
102230,Illinois
102233,Massachusetts
102234,Ohio
102235,Pennsylvania
102236,Tennessee
102237,Virginia
102240,New Jersey
102241,Michigan
102247,Arkansas
102249,Texas
102253,Oklahoma
102255,Louisiana
102257,New Mexico
102258,Maine
102260,Montana
102261,Idaho
102264,Kansas
102265,South Dakota
102266,Alabama
102270,Minnesota
102273,Connecticut
102280,North Carolina
102283,Illinois
102284,Massachusetts
102287,Ohio
102288,Pennsylvania
102292,Tennessee
102293,Virginia
102302,New Jersey
102303,Michigan
102305,Arkansas
102306,Texas
102308,Oklahoma
102311,Louisiana
102313,New Mexico
102317,Maine
102325,Montana
102327,Idaho
102328,Kansas
102329,South Dakota
102331,Alabama
102332,Minnesota
102333,Connecticut
102334,North Carolina
102337,Illinois
102338,Massachusetts
102339,Ohio
102342,Pennsylvania
102346,Tennessee
102349,Virginia
102355,New Jersey
102357,Michigan
102358,Arkansas
102359,Texas
10236,Oklahoma
1023676,Louisiana
102389,New Mexico
102390,Maine
102391,Montana
102393,Idaho
102394,Kansas
1023942,South Dakota
102398,Alabama
102401,Minnesota
102405,Connecticut
102406,North Carolina
102412,Illinois
102414,Massachusetts
102416,Ohio
102417,Pennsylvania
102418,Tennessee
102420,Virginia
102421,New Jersey
102422,Michigan
102431,Arkansas
102432,Texas
102433,Oklahoma
10244,Louisiana
102443,New Mexico
102444,Maine
102448,Montana
102449,Idaho
102450,Kansas
102455,South Dakota
102458,Alabama
102468,Minnesota
102472,Connecticut
102473,North Carolina
102478,Illinois
102480,Massachusetts
102481,Ohio
102482,Pennsylvania
102483,Tennessee
102484,Virginia
102485,New Jersey
102487,Michigan
102488,Arkansas
102489,Texas
10249,Oklahoma
102491,Louisiana
102492,New Mexico
102494,Maine
102496,Montana
102498,Idaho
1025,Kansas
10250,South Dakota
102501,Alabama
102504,Minnesota
102505,Connecticut
102507,North Carolina
10251,Illinois
102513,Massachusetts
102515,Ohio
102517,Pennsylvania
102523,Tennessee
102524,Virginia
102525,New Jersey
102526,Michigan
102528,Arkansas
102529,Texas
10253,Oklahoma
102530,Louisiana
102534,New Mexico
102538,Maine
102540,Montana
102541,Idaho
102542,Kansas
102543,South Dakota
102546,Alabama
102547,Minnesota
102553,Connecticut
102554,North Carolina
102560,Illinois
102563,Massachusetts
102566,Ohio
102569,Pennsylvania
102570,Tennessee
102571,Virginia
102572,New Jersey
102578,Michigan
102581,Arkansas
102582,Texas
102583,Oklahoma
102587,Louisiana
102589,New Mexico
102591,Maine
102593,Montana
102597,Idaho
102598,Kansas
102603,South Dakota
102605,Alabama
102608,Minnesota
102610,Connecticut
102613,North Carolina
102617,Illinois
102625,Massachusetts
102630,Ohio
102633,Pennsylvania
102634,Tennessee
102637,Virginia
102639,New Jersey
102640,Michigan
102642,Arkansas
102643,Texas
102646,Oklahoma
102653,Louisiana
102654,New Mexico
102655,Maine
102657,Montana
102659,Idaho
10266,Kansas
102667,South Dakota
102671,Alabama
102672,Minnesota
102673,Connecticut
102678,North Carolina
102683,Illinois
102684,Massachusetts
102687,Ohio
102688,Pennsylvania
102689,Tennessee
102699,Virginia
102700,New Jersey
102701,Michigan
102707,Arkansas
102708,Texas
102709,Oklahoma
102710,Louisiana
102712,New Mexico
102715,Maine
102717,Montana
102718,Idaho
1027185,Kansas
1027189,South Dakota
102726,Alabama
102727,Minnesota
102729,Connecticut
102730,North Carolina
102736,Illinois
10274,Massachusetts
102753,Ohio
102755,Pennsylvania
102758,Tennessee
102759,Virginia
102760,New Jersey
102763,Michigan
102767,Arkansas
102770,Texas
102772,Oklahoma
102775,Louisiana
102776,New Mexico
102779,Maine
102780,Montana
102783,Idaho
102785,Kansas
102786,South Dakota
10279,Alabama
102791,Minnesota
102793,Connecticut
102798,North Carolina
102806,Illinois
102807,Massachusetts
102809,Ohio
102810,Pennsylvania
102811,Tennessee
102812,Virginia
102815,New Jersey
102826,Michigan
102828,Arkansas
102833,Texas
102834,Oklahoma
102835,Louisiana
102840,New Mexico
102841,Maine
102842,Montana
102843,Idaho
102845,Kansas
102849,South Dakota
102850,Alabama
102851,Minnesota
102852,Connecticut
102859,North Carolina
102860,Illinois
102862,Massachusetts
102864,Ohio
102865,Pennsylvania
102866,Tennessee
102867,Virginia
102868,New Jersey
102872,Michigan
102874,Arkansas
102881,Texas
102885,Oklahoma
1028941,Louisiana
102900,New Mexico
102902,Maine
10291,Montana
102911,Idaho
102917,Kansas
102920,South Dakota
102922,Alabama
102940,Minnesota
102941,Connecticut
102942,North Carolina
102943,Illinois
102948,Massachusetts
102950,Ohio
102951,Pennsylvania
102957,Tennessee
10296,Virginia
102960,New Jersey
102972,Michigan
102977,Arkansas
102979,Texas
10298,Oklahoma
102984,Louisiana
102985,New Mexico
102987,Maine
102992,Montana
102994,Idaho
103010,Kansas
103019,South Dakota
103020,Alabama
103021,Minnesota
103022,Connecticut
10303,North Carolina
103030,Illinois
103031,Massachusetts
103041,Ohio
103047,Pennsylvania
103048,Tennessee
103049,Virginia
10305,New Jersey
103052,Michigan
103062,Arkansas
103067,Texas
103075,Oklahoma
103077,Louisiana
103080,New Mexico
103084,Maine
103098,Montana
1031,Idaho
103104,Kansas
103105,South Dakota
103106,Alabama
103109,Minnesota
103113,Connecticut
103114,North Carolina
103116,Illinois
103117,Massachusetts
103120,Ohio
103121,Pennsylvania
103126,Tennessee
103128,Virginia
103130,New Jersey
103134,Michigan
103138,Arkansas
10314,Texas
103173,Oklahoma
103177,Louisiana
103178,New Mexico
103182,Maine
103183,Montana
103185,Idaho
103193,Kansas
103195,South Dakota
103198,Alabama
103199,Minnesota
103202,Connecticut
103206,North Carolina
10321,Illinois
103214,Massachusetts
103215,Ohio
103217,Pennsylvania
10322,Tennessee
103224,Virginia
103225,New Jersey
103234,Michigan
103235,Arkansas
103239,Texas
103240,Oklahoma
103244,Louisiana
103245,New Mexico
103246,Maine
1032499,Montana
103255,Idaho
103258,Kansas
103265,South Dakota
103273,Alabama
103291,Minnesota
103293,Connecticut
103298,North Carolina
103301,Illinois
103302,Massachusetts
103303,Ohio
103304,Pennsylvania
103306,Tennessee
103311,Virginia
103321,New Jersey
103322,Michigan
103323,Arkansas
103336,Texas
103337,Oklahoma
103344,Louisiana
103345,New Mexico
103346,Maine
103353,Montana
103355,Idaho
103357,Kansas
103368,South Dakota
103383,Alabama
103384,Minnesota
103388,Connecticut
103389,North Carolina
103390,Illinois
103401,Massachusetts
103409,Ohio
103412,Pennsylvania
103413,Tennessee
103416,Virginia
103418,New Jersey
103423,Michigan
103429,Arkansas
103430,Texas
103451,Oklahoma
103453,Louisiana
103454,New Mexico
103455,Maine
103468,Montana
103470,Idaho
103471,Kansas
103472,South Dakota
103477,Alabama
103487,Minnesota
103488,Connecticut
103489,North Carolina
103490,Illinois
103491,Massachusetts
103496,Ohio
103500,Pennsylvania
103515,Tennessee
103518,Virginia
103519,New Jersey
103528,Michigan
103534,Arkansas
103547,Texas
103548,Oklahoma
103549,Louisiana
103550,New Mexico
103553,Maine
103554,Montana
