make_model_tank,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Double-Walled_Diesel-Only_12k-25k_1995,,,,,,,,,,,0.173708920187793,0.177884615384615,0.177884615384615,0.177884615384615,0.178743961352657,0.178743961352657,0.178743961352657,0.179611650485437,0.181372549019608,0.173267326732673,0.173267326732673,0.175879396984925,0.175879396984925,0.176767676767677,0.176767676767677,0.176767676767677,0.177664974619289,0.178571428571429,0.17948717948718,0.17948717948718,0.182291666666667,0.185185185185185,0.186170212765957,0.186170212765957,0.188172043010753,0.190217391304348
Double-Walled_Diesel-Only_12k-25k_1996,,,,,,,,,,,,0.209606986899563,0.217194570135747,0.217194570135747,0.217194570135747,0.218181818181818,0.218181818181818,0.218181818181818,0.218181818181818,0.218181818181818,0.219178082191781,0.220183486238532,0.220183486238532,0.220183486238532,0.222222222222222,0.222222222222222,0.223255813953488,0.225352112676056,0.225352112676056,0.226415094339623,0.227488151658768,0.227488151658768,0.228571428571429,0.231884057971015,0.233009708737864,0.234146341463415
Double-Walled_Diesel-Only_12k-25k_1997,,,,,,,,,,,,,0.225225225225225,0.235849056603774,0.235849056603774,0.23696682464455,0.23696682464455,0.23696682464455,0.23696682464455,0.239234449760766,0.240384615384615,0.241545893719807,0.242718446601942,0.242718446601942,0.242718446601942,0.242718446601942,0.245098039215686,0.247524752475248,0.248756218905473,0.25,0.25,0.25,0.25,0.251256281407035,0.252525252525253,0.255102040816327
Double-Walled_Diesel-Only_1k-5k_1985,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.289473684210526,0.297297297297297,0.305555555555556,0.314285714285714,0.233333333333333,0.214285714285714,0.24,0.24,0.208333333333333,0.208333333333333,0.208333333333333,0.217391304347826,0.181818181818182,0.181818181818182,0.2,0.157894736842105,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.1875,0.1875,0.1875,0.2,0.214285714285714,0.214285714285714
Double-Walled_Diesel-Only_1k-5k_1986,,0.196969696969697,0.196969696969697,0.196969696969697,0.196969696969697,0.196969696969697,0.196969696969697,0.196969696969697,0.196969696969697,0.158730158730159,0.158730158730159,0.158730158730159,0.145161290322581,0.12280701754386,0.14,0.127659574468085,0.133333333333333,0.136363636363636,0.116279069767442,0.116279069767442,0.119047619047619,0.121951219512195,0.121951219512195,0.128205128205128,0.128205128205128,0.138888888888889,0.142857142857143,0.142857142857143,0.147058823529412,0.151515151515152,0.15625,0.172413793103448,0.172413793103448,0.178571428571429,0.178571428571429,0.192307692307692
Double-Walled_Diesel-Only_1k-5k_1987,,,0.221052631578947,0.228260869565217,0.228260869565217,0.228260869565217,0.21978021978022,0.21978021978022,0.211111111111111,0.211111111111111,0.213483146067416,0.202380952380952,0.195121951219512,0.185185185185185,0.171052631578947,0.16,0.169014084507042,0.171428571428571,0.176470588235294,0.17910447761194,0.17910447761194,0.181818181818182,0.181818181818182,0.161290322580645,0.166666666666667,0.172413793103448,0.166666666666667,0.166666666666667,0.169811320754717,0.169811320754717,0.183673469387755,0.1875,0.1875,0.195652173913043,0.195652173913043,0.195652173913043
Double-Walled_Diesel-Only_1k-5k_1988,,,,0.127659574468085,0.129496402877698,0.129496402877698,0.129496402877698,0.129496402877698,0.123188405797101,0.116788321167883,0.117647058823529,0.116279069767442,0.118110236220472,0.120967741935484,0.108333333333333,0.102564102564103,0.0884955752212389,0.0810810810810811,0.0818181818181818,0.0825688073394496,0.0754716981132076,0.0784313725490196,0.0784313725490196,0.07,0.07,0.0714285714285714,0.0729166666666667,0.0752688172043011,0.0760869565217391,0.0795454545454545,0.0864197530864198,0.0897435897435897,0.0933333333333333,0.0958904109589041,0.104477611940299,0.107692307692308
Double-Walled_Diesel-Only_1k-5k_1989,,,,,0.0761421319796954,0.0789473684210526,0.0789473684210526,0.0740740740740741,0.0740740740740741,0.0641711229946524,0.0648648648648649,0.0648648648648649,0.0652173913043478,0.0621468926553672,0.0526315789473684,0.0421686746987952,0.0429447852760736,0.0443037974683544,0.0445859872611465,0.0448717948717949,0.0466666666666667,0.0469798657718121,0.0479452054794521,0.0416666666666667,0.041958041958042,0.0431654676258993,0.0307692307692308,0.032,0.0330578512396694,0.0338983050847458,0.0341880341880342,0.0353982300884956,0.036697247706422,0.0416666666666667,0.0430107526881721,0.0481927710843374
Double-Walled_Diesel-Only_1k-5k_1990,,,,,,0.0575079872204473,0.058252427184466,0.0553745928338762,0.0555555555555556,0.0524590163934426,0.0528052805280528,0.0528052805280528,0.05,0.0506756756756757,0.0380622837370242,0.0355871886120997,0.0359712230215827,0.032967032967033,0.0333333333333333,0.0229007633587786,0.0232558139534884,0.0241935483870968,0.0205761316872428,0.0210084033613445,0.0210970464135021,0.0131578947368421,0.00934579439252336,0.00947867298578199,0.0099009900990099,0.0101522842639594,0.0103092783505155,0.0109289617486339,0.0114942528735632,0.0119047619047619,0.0124223602484472,0.0126582278481013
Double-Walled_Diesel-Only_1k-5k_1991,,,,,,,0.0839416058394161,0.0811808118081181,0.0811808118081181,0.0814814814814815,0.0780669144981413,0.071969696969697,0.0581395348837209,0.0546875,0.0546875,0.0551181102362205,0.0557768924302789,0.0557768924302789,0.0564516129032258,0.0537190082644628,0.0546218487394958,0.0550847457627119,0.0560344827586207,0.0572687224669604,0.0414746543778802,0.0422535211267606,0.042654028436019,0.0430622009569378,0.0436893203883495,0.045,0.046875,0.0489130434782609,0.0511363636363636,0.0526315789473684,0.0555555555555556,0.0573248407643312
