rel_year,est,se,ci_lo,ci_hi,margin,period
-4,0.00133396855295958,0.000937242322447627,-0.000503026399037772,0.00317096350495693,repl_share,pre
-3,0.0016713787718716,0.000690194650973501,0.000318597255963537,0.00302416028777966,repl_share,pre
-2,0.00185065009740531,0.000547240741167107,0.00077805824471778,0.00292324195009284,repl_share,pre
-1,0,0,0,0,repl_share,pre
0,-0.00120956876883221,0.000811907310639354,-0.00280090709768535,0.000381769560020922,repl_share,event
1,0.00477720172248672,0.000771657602301486,0.00326475282197581,0.00628965062299763,repl_share,post
2,0.00316376040847378,0.000677210680743188,0.00183642747421713,0.00449109334273042,repl_share,post
3,0.00309617013459848,0.000693825461301659,0.00173627223044723,0.00445606803874974,repl_share,post
4,0.00366163901317613,0.000716160767130312,0.00225796390960072,0.00506531411675154,repl_share,post
5,0.0044224137371907,0.000609491572448657,0.00322781025519134,0.00561701721919007,repl_share,post
6,0.00469829177448617,0.000656149828841072,0.00341223810995767,0.00598434543901467,repl_share,post
7,0.00340467834617648,0.000638552319905553,0.00215311579916159,0.00465624089319136,repl_share,post
8,0.0034001063064053,0.000629759331575296,0.00216577801651772,0.00463443459629288,repl_share,post
9,0.00329352477463912,0.000579307465959098,0.00215808214135929,0.00442896740791896,repl_share,post
10,0.00445443929912643,0.00064985444716658,0.00318072458267994,0.00572815401557293,repl_share,post
11,0.00309641973771888,0.000627860954644893,0.00186581226661489,0.00432702720882287,repl_share,post
12,0.00302379150478257,0.000640737859442881,0.00176794530027452,0.00427963770929062,repl_share,post
13,0.0029461948573397,0.000572497175874587,0.00182410039262551,0.00406828932205389,repl_share,post
14,0.0044930572768421,0.000559744423737592,0.00339595820631642,0.00559015634736778,repl_share,post
15,0.00304681020349267,0.000643684733611929,0.00178518812561329,0.00430843228137205,repl_share,post
16,0.00397373126503256,0.000521122083470905,0.00295233198142959,0.00499513054863554,repl_share,post
17,0.0040430119129029,0.000541443901090786,0.00298178186676496,0.00510424195904084,repl_share,post
18,0.00493755180921745,0.000580251928561364,0.00380025802923717,0.00607484558919772,repl_share,post
19,0.00417745828854216,0.00111070969312113,0.00200046729002474,0.00635444928705958,repl_share,post
20,0.00598627374450316,0.000532888093072435,0.00494181308208119,0.00703073440692513,repl_share,post
21,0.00736343820636015,0.000583392963757104,0.00621998799739623,0.00850688841532407,repl_share,post
22,0.00677802106208735,0.000554686163592349,0.00569083618144635,0.00786520594272836,repl_share,post
-13,-0.000792463845844193,0.000356591368644013,-0.00149138292838646,-9.35447633019284e-05,reconfigure_up,pre
-12,-0.000820650985988301,0.000352995277941264,-0.00151252173075318,-0.000128780241223424,reconfigure_up,pre
-11,-0.00161644249873363,0.000452888157138668,-0.00250410328672542,-0.000728781710741843,reconfigure_up,pre
-10,-0.00103663998189542,0.00046696954860363,-0.00195190029715854,-0.00012137966663231,reconfigure_up,pre
-9,-0.000887326780848546,0.000614488344976745,-0.00209172393700297,0.000317070375305875,reconfigure_up,pre
-8,-0.00153385306163665,0.000498468785672176,-0.00251085188155411,-0.000556854241719182,reconfigure_up,pre
