install_year,var,hr,coef,se,p,ci_lo,ci_hi
2005,did_yr2005,2.32200798188366,0.84243232077352,0.209147564478033,0.0042583606293221,1.54111024409157,3.49859530724853
2006,did_yr2006,1.6591431214886,0.506301277221227,0.218493849125246,0.0938255865048239,1.08118031965297,2.54606548745403
2007,did_yr2007,1.08501169795214,0.0815907684570143,0.321198984959591,0.826718317874022,0.578128427511904,2.03631291711347
2008,did_yr2008,0.793448468354606,-0.231366683336727,0.301011576397342,0.457106616904884,0.439837748680185,1.4313470679208
2009,did_yr2009,2.91960616547797,1.07144873234745,0.374576802773823,0.0356019388682665,1.40112880203019,6.08373773285212
2010,did_yr2010,1.79043163824415,0.582456729467288,0.506079959627066,0.303794692060753,0.664008723758325,4.827715866565
2011,did_yr2011,1.30523880034355,0.26638601280326,0.549714304574142,0.592610856562942,0.44438942209696,3.83368334440365
2012,did_yr2012,3.5614017652081,1.27015422163501,0.463934003254452,0.00499757973444113,1.43453904592438,8.84157358369738
2013,did_yr2013,2.49631528351331,0.914815758040189,0.413542764679647,0.158242266614621,1.10990223988289,5.61453952499426
2014,did_yr2014,1.75115795627002,0.560277258412735,0.656552009268514,0.582716995095034,0.483567348666285,6.3415244976022
2015,did_yr2015,1.66111013221373,0.507486133197529,0.827728460861004,0.359488176616922,0.327960649087308,8.41346935683294
2016,did_yr2016,13.8948593382007,2.63151893994788,0.586210194003162,0.000685139975220991,4.40414859717174,43.8375571960414
2017,did_yr2017,2.513489178835,0.921671898923401,1.26018339497888,0.700045025478343,0.212611748141176,29.7143874097008
2018,did_yr2018,0.0000655969379556183,-9.63198154060948,50.7215171694335,0.00000000000000652835859121042,0.00000000000000000000000000000000000000000000000438385849276718,981545886175984000000000000000000000000
2019,did_yr2019,0.000126469960157293,-8.97550574710926,75.4734683485108,0.00000000185231187727592,0.0000000000000000000000000000000000000000000000000000000000000000000072056663272148,2219732373920510000000000000000000000000000000000000000000000
2020,did_yr2020,,,0,,,
222,did_yr222,,,0,,,
