panel_id,panel_year,n_active,sw,fac_mixed,age_rank,cap_rank,is_oldest,is_smallest
10885_CO,2005,4,TRUE,FALSE,0.5,0,TRUE,TRUE
108949_TX,1999,4,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10945_CO,2009,4,TRUE,FALSE,0.5,0,TRUE,TRUE
10956_ME,1989,2,TRUE,TRUE,1,1,TRUE,FALSE
10965_CO,1988,5,TRUE,FALSE,0.5,0.75,TRUE,FALSE
10968_CO,1989,2,TRUE,FALSE,0,0,FALSE,TRUE
10978_ME,1988,2,TRUE,FALSE,1,0.5,TRUE,TRUE
10978_ME,1992,2,TRUE,TRUE,1,0,TRUE,TRUE
109812_TX,2003,2,FALSE,FALSE,0.5,0.5,TRUE,TRUE
10992_ME,1988,3,TRUE,FALSE,1,0.75,TRUE,FALSE
10996_CO,1999,3,TRUE,FALSE,0.5,0,TRUE,TRUE
11000006_AR,1991,4,TRUE,FALSE,0.5,0.166666666666667,TRUE,TRUE
11000010_AR,1986,3,TRUE,FALSE,0.5,0.5,TRUE,TRUE
11000012_AR,2004,6,TRUE,FALSE,0.6,0.4,FALSE,FALSE
11000014_AR,1991,6,TRUE,FALSE,0,0.1,FALSE,TRUE
1100007_TN,1999,4,TRUE,FALSE,0.5,0,TRUE,TRUE
1100033_TN,1997,4,TRUE,FALSE,0,0,FALSE,TRUE
1100051_TN,1996,5,TRUE,FALSE,0.75,0,TRUE,TRUE
1100084_TN,1990,5,TRUE,FALSE,1,0.125,TRUE,TRUE
1100088_TN,1998,5,FALSE,TRUE,0.5,0.125,TRUE,TRUE
1100341_OK,1989,3,TRUE,FALSE,0.75,0.5,TRUE,FALSE
1101808_OK,2017,4,TRUE,FALSE,0.5,0.166666666666667,TRUE,TRUE
1103338_OK,1998,2,TRUE,FALSE,0.5,1,TRUE,FALSE
1103338_OK,2008,2,TRUE,FALSE,1,0,TRUE,TRUE
11033_CO,1996,5,TRUE,TRUE,0.25,0.25,FALSE,FALSE
11034_ME,1986,2,TRUE,FALSE,0,0,FALSE,TRUE
11036_CO,1998,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
11041_CO,2004,4,TRUE,FALSE,0.666666666666667,0,TRUE,TRUE
110424_TX,1999,9,TRUE,FALSE,0.5,0.0625,TRUE,TRUE
11044_LA,2013,4,TRUE,FALSE,1,0,TRUE,TRUE
11059_CO,1998,4,TRUE,FALSE,0.5,0.5,TRUE,TRUE
11070_CO,1990,3,TRUE,FALSE,0.5,0.75,TRUE,FALSE
11070_CO,1995,2,TRUE,FALSE,0.5,1,TRUE,FALSE
1107_LA,1993,3,TRUE,FALSE,1,0,TRUE,TRUE
1109_CO,1999,2,TRUE,FALSE,0,1,FALSE,FALSE
111006_TX,1991,4,TRUE,FALSE,0.666666666666667,0.333333333333333,TRUE,FALSE
11105_CO,1997,7,TRUE,FALSE,0.5,1,TRUE,FALSE
11107_CO,1996,2,TRUE,FALSE,1,0.5,TRUE,TRUE
1111939_OK,1998,3,TRUE,FALSE,1,1,TRUE,FALSE
1113420_OK,1997,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
1116_LA,1990,5,TRUE,FALSE,0.625,0.375,TRUE,TRUE
1118_ME,1995,3,TRUE,TRUE,1,0,TRUE,TRUE
1118_ME,2002,3,FALSE,TRUE,0,0,FALSE,TRUE
1118_ME,2003,5,FALSE,TRUE,0.25,0,FALSE,TRUE
1118_ME,2017,2,TRUE,TRUE,1,0,TRUE,TRUE
11194_ME,1987,2,TRUE,FALSE,1,0,TRUE,TRUE
11214_CO,2014,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
11216_CO,1993,3,TRUE,FALSE,1,0,TRUE,TRUE
11218_ME,1996,3,TRUE,TRUE,1,0.5,TRUE,TRUE
11231_LA,1993,3,TRUE,TRUE,0.75,0.5,TRUE,FALSE
11238_CO,1989,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
11241_ME,1989,2,TRUE,FALSE,1,1,TRUE,FALSE
11251_CO,1992,3,TRUE,FALSE,1,0.25,TRUE,TRUE
11251_CO,2011,2,TRUE,FALSE,0,1,FALSE,FALSE
11269_CO,1989,4,TRUE,FALSE,0.666666666666667,0,TRUE,TRUE
112721_TX,2004,3,TRUE,FALSE,0.5,0,TRUE,TRUE
11272_ME,1994,3,TRUE,TRUE,0.75,0.25,TRUE,TRUE
11272_ME,2008,2,TRUE,TRUE,1,0,TRUE,TRUE
11278_CO,1990,3,TRUE,FALSE,1,0,TRUE,TRUE
11282_ME,1986,3,TRUE,FALSE,0.5,0,TRUE,TRUE
11296_CO,1995,5,TRUE,FALSE,0.875,0.5,TRUE,FALSE
11298_CO,2020,3,TRUE,FALSE,0,0,FALSE,TRUE
112_ME,1990,2,TRUE,FALSE,1,1,TRUE,FALSE
11306_LA,1990,6,TRUE,FALSE,0.5,0.6,FALSE,FALSE
11319_ME,1992,5,TRUE,FALSE,1,1,TRUE,FALSE
11319_ME,1996,8,TRUE,TRUE,0.857142857142857,0.214285714285714,TRUE,TRUE
