did_term,make_model_tank,N
0,Double-Walled_Other-Fuel_25k-Plus_1993,344
0,Double-Walled_Other-Fuel_25k-Plus_1994,750
0,Single-Walled_Other-Fuel_12k-25k_1995,3133
0,Unknown-Wall_Gasoline-Only_5k-12k_1995,36444
0,Unknown-Wall_Diesel-Only_5k-12k_1995,8367
0,Unknown-Wall_Other-Fuel_5k-12k_1990,27557
0,Single-Walled_Other-Fuel_12k-25k_1996,3413
0,Single-Walled_Other-Fuel_25k-Plus_1993,1149
0,Single-Walled_Gasoline-Only_Under-1k_1997,2229
0,Double-Walled_Other-Fuel_25k-Plus_1997,546
0,Unknown-Wall_Diesel-Only_12k-25k_1995,4469
0,Single-Walled_Other-Fuel_25k-Plus_1991,217
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1997,881
0,Unknown-Wall_Diesel-Only_12k-25k_1993,4791
0,Unknown-Wall_Other-Fuel_5k-12k_1997,12561
0,Single-Walled_Motor-Fuel-Mixed_1k-5k_1989,102
0,Double-Walled_Gasoline-Only_Under-1k_1995,314
0,Unknown-Wall_Gasoline-Only_12k-25k_1993,16358
0,Unknown-Wall_Diesel-Only_5k-12k_1993,9138
0,Unknown-Wall_Gasoline-Only_5k-12k_1996,35642
0,Single-Walled_Gasoline-Only_Under-1k_1994,2073
0,Single-Walled_Diesel-Only_Under-1k_1997,1250
0,Single-Walled_Gasoline-Only_25k-Plus_1997,152
0,Unknown-Wall_Diesel-Only_12k-25k_1996,4655
0,Unknown-Wall_Gasoline-Only_1k-5k_1996,3697
1,Single-Walled_Gasoline-Only_5k-12k_1995,5645
1,Single-Walled_Diesel-Only_5k-12k_1995,1861
1,Single-Walled_Other-Fuel_5k-12k_1991,3778
1,Single-Walled_Other-Fuel_1k-5k_1991,1451
1,Single-Walled_Diesel-Only_12k-25k_1994,691
1,Single-Walled_Gasoline-Only_12k-25k_1994,3311
1,Single-Walled_Gasoline-Only_12k-25k_1997,5475
1,Single-Walled_Gasoline-Only_5k-12k_1997,3123
1,Double-Walled_Gasoline-Only_12k-25k_1995,3134
1,Double-Walled_Other-Fuel_5k-12k_1995,890
1,Double-Walled_Motor-Fuel-Mixed_12k-25k_1995,308
1,Double-Walled_Diesel-Only_12k-25k_1995,780
1,Single-Walled_Diesel-Only_12k-25k_1989,642
1,Single-Walled_Gasoline-Only_5k-12k_1994,6412
1,Single-Walled_Diesel-Only_1k-5k_1994,422
1,Single-Walled_Gasoline-Only_1k-5k_1994,472
1,Double-Walled_Other-Fuel_5k-12k_1991,1335
1,Double-Walled_Other-Fuel_12k-25k_1995,977
1,Double-Walled_Gasoline-Only_5k-12k_1990,2281
1,Single-Walled_Other-Fuel_5k-12k_1989,7056
1,Single-Walled_Other-Fuel_1k-5k_1989,2151
1,Single-Walled_Gasoline-Only_12k-25k_1995,4412
1,Single-Walled_Gasoline-Only_5k-12k_1992,5847
1,Double-Walled_Gasoline-Only_5k-12k_1995,2146
1,Double-Walled_Diesel-Only_5k-12k_1995,555
1,Single-Walled_Other-Fuel_12k-25k_1995,1403
1,Single-Walled_Other-Fuel_5k-12k_1995,2649
1,Single-Walled_Gasoline-Only_12k-25k_1996,5165
1,Double-Walled_Gasoline-Only_1k-5k_1995,166
1,Double-Walled_Diesel-Only_1k-5k_1995,89
1,Single-Walled_Motor-Fuel-Mixed_12k-25k_1994,747
1,Single-Walled_Motor-Fuel-Mixed_12k-25k_1995,917
1,Single-Walled_Other-Fuel_1k-5k_1994,834
1,Single-Walled_Diesel-Only_12k-25k_1995,993
0,Single-Walled_Diesel-Only_25k-Plus_1995,372
1,Single-Walled_Diesel-Only_25k-Plus_1995,44
1,Single-Walled_Diesel-Only_5k-12k_1994,1620
1,Double-Walled_Gasoline-Only_12k-25k_1994,2238
0,Single-Walled_Other-Fuel_25k-Plus_1995,198
1,Single-Walled_Other-Fuel_25k-Plus_1995,88
1,Double-Walled_Motor-Fuel-Mixed_12k-25k_1994,300
1,Single-Walled_Motor-Fuel-Mixed_5k-12k_1994,374
0,Unknown-Wall_Gasoline-Only_12k-25k_1996,21099
1,Double-Walled_Gasoline-Only_5k-12k_1994,1771
1,Single-Walled_Motor-Fuel-Mixed_5k-12k_1995,382
0,Single-Walled_Gasoline-Only_25k-Plus_1995,197
1,Single-Walled_Gasoline-Only_25k-Plus_1995,50
1,Double-Walled_Other-Fuel_12k-25k_1994,1130
1,Double-Walled_Diesel-Only_12k-25k_1994,564
1,Single-Walled_Gasoline-Only_12k-25k_1992,2167
1,Single-Walled_Motor-Fuel-Mixed_12k-25k_1992,565
1,Single-Walled_Gasoline-Only_5k-12k_1993,4903
1,Single-Walled_Gasoline-Only_1k-5k_1989,1430
0,Single-Walled_Gasoline-Only_25k-Plus_1991,117
1,Single-Walled_Gasoline-Only_25k-Plus_1991,31
1,Single-Walled_Diesel-Only_1k-5k_1995,433
1,Single-Walled_Other-Fuel_12k-25k_1994,1625
1,Single-Walled_Other-Fuel_5k-12k_1994,3218
1,Single-Walled_Other-Fuel_1k-5k_1995,623
1,Double-Walled_Gasoline-Only_12k-25k_1993,1152
1,Double-Walled_Diesel-Only_12k-25k_1993,496
1,Double-Walled_Gasoline-Only_12k-25k_1997,5579
1,Double-Walled_Motor-Fuel-Mixed_12k-25k_1997,878
1,Single-Walled_Gasoline-Only_1k-5k_1995,370
1,Single-Walled_Diesel-Only_5k-12k_1996,1426
1,Unknown-Wall_Other-Fuel_5k-12k_1991,77
1,Double-Walled_Gasoline-Only_5k-12k_1991,2129
1,Single-Walled_Other-Fuel_Under-1k_1995,51
1,Double-Walled_Other-Fuel_1k-5k_1995,213
1,Single-Walled_Diesel-Only_5k-12k_1992,1303
1,Single-Walled_Motor-Fuel-Mixed_12k-25k_1993,432
0,Unknown-Wall_Diesel-Only_5k-12k_1992,10542
1,Single-Walled_Diesel-Only_5k-12k_1989,3214
1,Single-Walled_Gasoline-Only_5k-12k_1989,10970
1,Single-Walled_Other-Fuel_12k-25k_1992,870
0,Single-Walled_Motor-Fuel-Mixed_25k-Plus_1992,28
1,Single-Walled_Motor-Fuel-Mixed_25k-Plus_1992,48
1,Single-Walled_Motor-Fuel-Mixed_5k-12k_1996,462
1,Single-Walled_Motor-Fuel-Mixed_5k-12k_1993,426
1,Double-Walled_Other-Fuel_12k-25k_1993,617
1,Double-Walled_Diesel-Only_5k-12k_1993,334
0,Unknown-Wall_Diesel-Only_1k-5k_1989,19301
0,Double-Walled_Motor-Fuel-Mixed_5k-12k_1990,663
1,Single-Walled_Motor-Fuel-Mixed_12k-25k_1997,1601
1,Double-Walled_Diesel-Only_5k-12k_1994,518
1,Double-Walled_Gasoline-Only_5k-12k_1993,946
0,Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1997,1949
0,Unknown-Wall_Gasoline-Only_5k-12k_1997,29257
1,Double-Walled_Diesel-Only_5k-12k_1997,352
1,Double-Walled_Other-Fuel_5k-12k_1993,908
1,Double-Walled_Diesel-Only_12k-25k_1992,591
1,Single-Walled_Gasoline-Only_5k-12k_1996,4913
1,Single-Walled_Motor-Fuel-Mixed_12k-25k_1996,1554
1,Double-Walled_Gasoline-Only_1k-5k_1990,240
1,Double-Walled_Gasoline-Only_12k-25k_1996,4231
1,Double-Walled_Diesel-Only_5k-12k_1996,645
1,Single-Walled_Diesel-Only_12k-25k_1997,893
1,Double-Walled_Motor-Fuel-Mixed_1k-5k_1995,22
1,Single-Walled_Diesel-Only_12k-25k_1996,1155
0,Unknown-Wall_Other-Fuel_5k-12k_1992,14555
1,Double-Walled_Diesel-Only_5k-12k_1992,448
1,Single-Walled_Other-Fuel_12k-25k_1996,1697
1,Double-Walled_Diesel-Only_12k-25k_1996,1056
1,Double-Walled_Other-Fuel_12k-25k_1996,1246
1,Double-Walled_Gasoline-Only_5k-12k_1996,1771
1,Single-Walled_Gasoline-Only_1k-5k_1996,225
1,Single-Walled_Gasoline-Only_5k-12k_1990,9649
1,Single-Walled_Other-Fuel_12k-25k_1991,1398
1,Single-Walled_Other-Fuel_5k-12k_1996,1521
1,Double-Walled_Other-Fuel_Under-1k_1996,75
1,Double-Walled_Motor-Fuel-Mixed_12k-25k_1996,680
1,Single-Walled_Diesel-Only_1k-5k_1996,298
0,Unknown-Wall_Other-Fuel_5k-12k_1993,11345
