panel_id,n_tanks,n_sw,n_dw,n_closed,n_closed_sw,n_closed_dw,any_closed,has_both_types
ID6-330621_ID,2,2,0,0,0,0,0,0
ID6-330622_ID,1,1,0,1,1,0,1,0
ID6-330626_ID,1,1,0,1,1,0,1,0
ID6-410011_ID,4,4,0,0,0,0,0,0
ID6-410606_ID,2,2,0,0,0,0,0,0
ID6-410607_ID,1,1,0,1,1,0,1,0
ID6-410613_ID,1,1,0,1,1,0,1,0
KS26910_KS,2,2,0,0,0,0,0,0
KS29794_KS,2,2,0,0,0,0,0,0
KS04842_KS,3,3,0,0,0,0,0,0
KS00159_KS,3,3,0,0,0,0,0,0
KS01071_KS,3,3,0,0,0,0,0,0
KS03342_KS,3,3,0,0,0,0,0,0
KS07849_KS,1,1,0,1,1,0,1,0
KS12458_KS,1,1,0,0,0,0,0,0
KS00286_KS,1,1,0,0,0,0,0,0
KS02589_KS,4,4,0,0,0,0,0,0
KS07729_KS,4,4,0,0,0,0,0,0
KS29376_KS,4,4,0,0,0,0,0,0
KS01597_KS,2,2,0,0,0,0,0,0
KS01616_KS,2,2,0,0,0,0,0,0
KS05601_KS,6,6,0,0,0,0,0,0
KS06149_KS,1,1,0,1,1,0,1,0
KS06720_KS,3,3,0,0,0,0,0,0
KS12588_KS,1,1,0,0,0,0,0,0
KS25035_KS,4,4,0,4,4,0,1,0
KS26311_KS,3,3,0,0,0,0,0,0
KS26727_KS,1,1,0,0,0,0,0,0
KS27054_KS,1,1,0,0,0,0,0,0
KS29353_KS,1,1,0,0,0,0,0,0
KS29953_KS,2,2,0,0,0,0,0,0
KS14423_KS,3,3,0,0,0,0,0,0
KS26699_KS,2,2,0,2,2,0,1,0
KS13447_KS,3,3,0,0,0,0,0,0
KS27306_KS,1,1,0,0,0,0,0,0
KS30011_KS,4,4,0,0,0,0,0,0
KS00871_KS,2,2,0,2,2,0,1,0
KS00891_KS,2,2,0,0,0,0,0,0
KS00894_KS,1,1,0,0,0,0,0,0
KS02612_KS,3,3,0,3,3,0,1,0
KS05781_KS,3,3,0,0,0,0,0,0
KS06057_KS,1,1,0,0,0,0,0,0
KS06139_KS,1,1,0,1,1,0,1,0
KS07209_KS,3,3,0,0,0,0,0,0
KS07258_KS,3,3,0,3,3,0,1,0
KS23294_KS,3,3,0,0,0,0,0,0
KS26572_KS,2,2,0,0,0,0,0,0
KS26573_KS,2,2,0,0,0,0,0,0
KS26721_KS,1,1,0,0,0,0,0,0
KS27293_KS,1,1,0,0,0,0,0,0
KS28384_KS,3,3,0,0,0,0,0,0
KS28764_KS,1,1,0,0,0,0,0,0
KS29305_KS,2,2,0,2,2,0,1,0
KS29375_KS,7,7,0,0,0,0,0,0
KS29439_KS,3,3,0,3,3,0,1,0
KS29851_KS,2,2,0,0,0,0,0,0
KS02312_KS,3,3,0,0,0,0,0,0
KS00921_KS,2,2,0,0,0,0,0,0
KS05975_KS,2,2,0,0,0,0,0,0
KS06066_KS,1,1,0,1,1,0,1,0
KS09041_KS,3,3,0,0,0,0,0,0
KS27624_KS,2,2,0,0,0,0,0,0
KS29973_KS,2,2,0,0,0,0,0,0
KS03690_KS,4,4,0,0,0,0,0,0
KS26659_KS,1,1,0,0,0,0,0,0
KS29304_KS,2,2,0,0,0,0,0,0
KS01689_KS,3,3,0,0,0,0,0,0
KS06727_KS,1,1,0,0,0,0,0,0
KS07857_KS,1,1,0,0,0,0,0,0
KS28919_KS,2,2,0,0,0,0,0,0
KS29556_KS,2,2,0,0,0,0,0,0
KS29826_KS,2,2,0,0,0,0,0,0
KS30001_KS,2,2,0,0,0,0,0,0
KS29132_KS,1,1,0,1,1,0,1,0
KS29184_KS,4,4,0,0,0,0,0,0
KS29739_KS,2,2,0,0,0,0,0,0
KS05368_KS,4,4,0,4,4,0,1,0
KS07858_KS,2,2,0,0,0,0,0,0
KS00835_KS,2,2,0,0,0,0,0,0
KS00838_KS,1,1,0,0,0,0,0,0
KS03703_KS,3,3,0,0,0,0,0,0
KS07710_KS,3,3,0,0,0,0,0,0
KS25979_KS,2,2,0,2,2,0,1,0
KS26724_KS,1,1,0,1,1,0,1,0
KS29819_KS,2,2,0,0,0,0,0,0
KS29828_KS,2,2,0,0,0,0,0,0
KS29867_KS,2,2,0,0,0,0,0,0
KS00686_KS,1,1,0,0,0,0,0,0
KS00689_KS,3,3,0,0,0,0,0,0
KS03750_KS,3,3,0,3,3,0,1,0
KS05341_KS,2,2,0,0,0,0,0,0
KS07024_KS,2,2,0,0,0,0,0,0
KS29156_KS,3,3,0,0,0,0,0,0
KS29821_KS,2,2,0,0,0,0,0,0
KS01154_KS,4,4,0,4,4,0,1,0
KS06042_KS,2,2,0,0,0,0,0,0
KS06618_KS,2,2,0,0,0,0,0,0
KS07188_KS,1,1,0,0,0,0,0,0
KS08678_KS,6,6,0,0,0,0,0,0
KS24012_KS,2,2,0,0,0,0,0,0
KS26085_KS,3,3,0,3,3,0,1,0
KS29356_KS,3,3,0,3,3,0,1,0
KS29868_KS,2,2,0,0,0,0,0,0
KS29870_KS,2,2,0,0,0,0,0,0
KS29998_KS,2,2,0,0,0,0,0,0
KS03629_KS,2,2,0,0,0,0,0,0
KS26201_KS,1,1,0,0,0,0,0,0
KS29704_KS,2,2,0,0,0,0,0,0
KS01095_KS,1,1,0,0,0,0,0,0
KS05001_KS,4,4,0,0,0,0,0,0
KS06201_KS,1,1,0,1,1,0,1,0
KS06872_KS,2,2,0,0,0,0,0,0
KS08820_KS,1,1,0,1,1,0,1,0
