s_idx,A_bin,w_state,rho_state,size_boy,n,P_M,P_E,P_R,P_cl
27,3,2,2,3,3492,0.991408934707904,0.00458190148911799,0.00400916380297824,0.00859106529209622
27,3,2,2,4+,949,0.994731296101159,0.00316122233930453,0.00210748155953635,0.00526870389884089
28,4,2,2,1,2927,0.971643320806286,0.0266484455073454,0.0017082336863683,0.0283566791937137
28,4,2,2,2,5170,0.986266924564797,0.0100580270793037,0.00367504835589942,0.0137330754352031
28,4,2,2,3,3667,0.986092173438778,0.0114535042268885,0.00245432233433324,0.0139078265612217
28,4,2,2,4+,1011,0.980217606330366,0.00791295746785361,0.0118694362017804,0.019782393669634
29,5,2,2,1,1740,0.968965517241379,0.0304597701149425,0.000574712643678161,0.0310344827586207
29,5,2,2,2,2405,0.984199584199584,0.0112266112266112,0.00457380457380458,0.0158004158004158
29,5,2,2,3,2658,0.982317531978932,0.0120391271632807,0.00564334085778781,0.0176824680210685
29,5,2,2,4+,952,0.985294117647059,0.00840336134453782,0.00630252100840336,0.0147058823529412
30,6,2,2,1,757,0.970937912813738,0.0290620871862616,0,0.0290620871862616
30,6,2,2,2,735,0.972789115646258,0.0217687074829932,0.0054421768707483,0.0272108843537415
30,6,2,2,3,1528,0.977094240837696,0.0150523560209424,0.00785340314136126,0.0229057591623037
30,6,2,2,4+,732,0.971311475409836,0.0177595628415301,0.0109289617486339,0.0286885245901639
31,7,2,2,1,210,0.957142857142857,0.0428571428571429,0,0.0428571428571429
31,7,2,2,2,265,0.958490566037736,0.0377358490566038,0.00377358490566038,0.0415094339622642
31,7,2,2,3,674,0.979228486646884,0.0148367952522255,0.00593471810089021,0.0207715133531157
31,7,2,2,4+,307,0.964169381107492,0.0260586319218241,0.00977198697068404,0.0358306188925081
32,8,2,2,1,86,0.941860465116279,0.0581395348837209,0,0.0581395348837209
32,8,2,2,2,178,0.955056179775281,0.0449438202247191,0,0.0449438202247191
32,8,2,2,3,427,0.971896955503513,0.0117096018735363,0.0163934426229508,0.0281030444964871
32,8,2,2,4+,148,0.952702702702703,0.0337837837837838,0.0135135135135135,0.0472972972972973
