make_model_tank,n_tx,n_ctl,n_total,has_both
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1992,0,71,71,0
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1993,0,70,70,0
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1994,0,67,67,0
Double-Walled_Motor-Fuel-Mixed_12k-25k_1992,16,50,66,1
Double-Walled_Gasoline-Only_Under-1k_1989,5,60,65,1
Single-Walled_Motor-Fuel-Mixed_12k-25k_1994,35,29,64,1
Double-Walled_Diesel-Only_Under-1k_1993,1,63,64,1
Unknown-Wall_Diesel-Only_Under-1k_1994,0,63,63,0
Unknown-Wall_Gasoline-Only_25k-Plus_1990,0,63,63,0
Double-Walled_Diesel-Only_Under-1k_1989,4,58,62,1
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1991,0,62,62,0
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1994,0,62,62,0
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1990,0,61,61,0
Double-Walled_Motor-Fuel-Mixed_12k-25k_1994,15,45,60,1
Single-Walled_Diesel-Only_Under-1k_1997,1,59,60,1
Single-Walled_Diesel-Only_Under-1k_1995,0,59,59,0
Single-Walled_Motor-Fuel-Mixed_5k-12k_1997,22,36,58,1
Single-Walled_Diesel-Only_Under-1k_1996,0,58,58,0
Unknown-Wall_Diesel-Only_Under-1k_1995,0,57,57,0
Double-Walled_Diesel-Only_Under-1k_1994,1,54,55,1
Unknown-Wall_Gasoline-Only_25k-Plus_1991,0,55,55,0
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1989,0,55,55,0
Double-Walled_Motor-Fuel-Mixed_12k-25k_1995,14,40,54,1
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1992,0,54,54,0
Single-Walled_Motor-Fuel-Mixed_12k-25k_1993,21,32,53,1
Double-Walled_Diesel-Only_Under-1k_1995,1,52,53,1
Double-Walled_Gasoline-Only_Under-1k_1991,2,51,53,1
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1995,0,53,53,0
Double-Walled_Gasoline-Only_Under-1k_1990,0,52,52,0
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1996,0,51,51,0
Unknown-Wall_Gasoline-Only_Under-1k_1991,0,50,50,0
Single-Walled_Motor-Fuel-Mixed_12k-25k_1992,27,22,49,1
Double-Walled_Diesel-Only_Under-1k_1997,0,49,49,0
Single-Walled_Motor-Fuel-Mixed_5k-12k_1996,21,27,48,1
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1997,0,48,48,0
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1996,0,48,48,0
Double-Walled_Motor-Fuel-Mixed_12k-25k_1993,10,35,45,1
Double-Walled_Diesel-Only_Under-1k_1996,0,45,45,0
Single-Walled_Motor-Fuel-Mixed_5k-12k_1995,20,23,43,1
Single-Walled_Other-Fuel_25k-Plus_1993,0,42,42,0
Double-Walled_Motor-Fuel-Mixed_5k-12k_1996,4,37,41,1
Unknown-Wall_Gasoline-Only_Under-1k_1992,0,41,41,0
