panel_id,is_gas
ID2-250056_ID,0
ID2-250057_ID,1
ID2-250058_ID,1
ID2-250061_ID,1
ID2-250062_ID,1
ID2-250063_ID,1
ID2-250065_ID,1
ID2-250069_ID,1
ID2-250070_ID,1
ID2-250071_ID,1
ID2-250072_ID,1
ID2-250073_ID,1
ID2-250074_ID,1
ID2-250075_ID,1
ID2-250076_ID,1
ID2-250077_ID,1
ID2-250078_ID,1
ID2-250079_ID,1
ID2-250080_ID,1
ID2-250081_ID,1
ID2-250083_ID,1
ID2-250084_ID,1
ID2-250086_ID,1
ID2-250087_ID,1
ID2-250089_ID,1
ID2-250090_ID,1
ID2-250091_ID,1
ID2-250093_ID,0
ID2-250094_ID,1
ID2-250095_ID,1
ID2-250099_ID,1
ID2-250100_ID,1
ID2-250101_ID,1
ID2-250102_ID,1
ID2-250600_ID,1
ID2-250601_ID,1
ID2-250602_ID,1
ID2-250604_ID,1
ID2-250605_ID,1
ID2-250606_ID,1
ID2-250607_ID,1
ID2-250608_ID,1
ID2-250609_ID,1
ID2-250610_ID,1
ID2-250612_ID,1
ID2-250613_ID,1
ID2-250614_ID,1
ID2-250616_ID,1
ID2-250617_ID,1
ID2-250618_ID,1
ID2-250619_ID,0
ID2-250620_ID,1
ID2-250621_ID,1
ID2-250622_ID,1
ID2-250623_ID,1
ID2-250624_ID,1
ID2-250625_ID,1
ID2-250626_ID,1
ID2-250627_ID,1
ID2-250628_ID,1
ID2-250629_ID,1
ID2-290001_ID,1
ID2-290002_ID,0
ID2-290004_ID,0
ID2-290005_ID,1
ID2-290006_ID,0
ID2-290007_ID,1
ID2-290008_ID,1
ID2-290009_ID,1
ID2-290010_ID,0
ID2-290011_ID,1
ID2-290014_ID,1
ID2-290015_ID,1
ID2-290016_ID,1
ID2-290017_ID,1
ID2-290018_ID,1
ID2-290019_ID,1
ID2-290020_ID,0
ID2-290021_ID,1
ID2-290022_ID,0
ID2-290023_ID,1
ID2-290025_ID,1
ID2-290026_ID,1
ID2-290027_ID,1
ID2-290028_ID,0
ID2-290029_ID,0
ID2-290031_ID,1
ID2-290032_ID,1
ID2-290033_ID,1
ID2-290034_ID,0
ID2-290035_ID,0
ID2-290036_ID,1
ID2-290037_ID,0
ID2-290038_ID,1
ID2-290040_ID,1
ID2-290041_ID,1
ID2-290042_ID,1
ID2-290043_ID,1
ID2-290044_ID,0
ID2-290045_ID,1
ID2-290046_ID,1
ID2-290047_ID,1
ID2-290048_ID,1
ID2-290049_ID,1
ID2-290052_ID,1
ID2-290053_ID,1
ID2-290054_ID,0
ID2-290055_ID,0
ID2-290056_ID,1
ID2-290057_ID,1
ID2-290058_ID,1
ID2-290059_ID,1
ID2-290060_ID,1
ID2-290061_ID,1
ID2-290062_ID,1
ID2-290063_ID,0
ID2-290064_ID,1
ID2-290065_ID,0
ID2-290066_ID,1
ID2-290067_ID,1
ID2-290068_ID,1
ID2-290069_ID,0
ID2-290070_ID,0
ID2-290071_ID,1
ID2-290072_ID,1
ID2-290074_ID,1
ID2-290075_ID,1
ID2-290076_ID,1
ID2-290077_ID,1
ID2-290078_ID,0
ID2-290079_ID,1
ID2-290080_ID,1
ID2-290082_ID,0
ID2-290083_ID,1
ID2-290084_ID,1
ID2-290085_ID,0
ID2-290086_ID,1
ID2-290087_ID,1
ID2-290088_ID,1
ID2-290089_ID,1
ID2-290090_ID,0
ID2-290092_ID,1
ID2-290096_ID,0
ID2-290097_ID,1
ID2-290098_ID,1
ID2-290600_ID,1
ID2-290601_ID,1
ID2-290602_ID,1
ID2-290603_ID,1
ID2-290604_ID,1
ID2-290605_ID,1
ID2-290607_ID,0
ID2-290608_ID,1
ID2-290609_ID,1
ID2-290611_ID,1
ID2-290613_ID,1
ID2-290614_ID,1
ID2-290615_ID,1
ID2-290616_ID,1
ID2-290617_ID,0
ID2-290618_ID,1
ID2-290619_ID,1
ID2-290620_ID,1
ID2-290621_ID,1
ID2-290622_ID,0
ID2-290625_ID,1
ID2-290626_ID,1
ID2-290627_ID,1
ID2-290628_ID,1
ID2-290629_ID,1
ID2-290630_ID,1
ID2-290631_ID,1
ID2-290632_ID,1
ID2-290633_ID,1
ID2-290634_ID,0
ID2-290635_ID,0
ID2-290636_ID,1
ID2-290637_ID,1
ID2-290638_ID,1
ID2-290639_ID,1
ID2-290640_ID,1
ID2-290641_ID,1
ID2-290642_ID,0
ID2-290643_ID,1
ID2-290644_ID,1
ID2-290645_ID,1
ID2-310004_ID,1
ID2-310014_ID,0
ID2-310021_ID,1
ID2-310037_ID,0
ID2-310043_ID,1
ID2-310606_ID,1
ID2-310607_ID,1
ID2-350001_ID,1
ID2-350005_ID,0
ID2-350006_ID,1
ID2-350007_ID,1
ID2-350008_ID,1
ID2-350009_ID,0
ID2-350010_ID,0
ID2-350011_ID,1
ID2-350012_ID,1
ID2-350020_ID,1
ID2-350023_ID,0
